[ID do artista];[Nome do artista/grupo];[Quantidade de integrantes];[Quantidade de premiações];[Cidade de origem];[Ano de estreia];[Em atividade? (Não = 0, Sim = 1)];[Ano de lançamento da última obra];[Principais obras (separadas por |)];[ID do gênero]
1;The Beatles;4;7;Liverpool;1960;0;2023;Abbey Road | Let It Be | Hey Jude | Now and Then;1
2;Queen;4;0;Londres;1970;0;1995;A Night at the Opera | News of the World | Bohemian Rhapsody | The Game;1
3;Pink Floyd;5;1;Londres;1965;1;2022;The Dark Side of the Moon | Wish You Were Here | The Wall | Animals;1
4;Michael Jackson;1;13;Gary;1964;0;2014;Thriller | Billie Jean | Beat It | Bad;2
5;Madonna;1;7;Bay City;1979;1;2023;Like a Virgin | Ray of Light | Vogue | Confessions on a Dance Floor;2
6;Taylor Swift;1;14;Reading;2004;1;2025;1989 | Fearless | Midnights | The Life of a Showgirl;2
9;Eminem;1;15;St. Joseph;1996;1;2024;The Marshall Mathers LP | Lose Yourself | Without Me | The Death of Slim Shady;3
10;2Pac;1;0;New York;1987;0;2006;All Eyez on Me | California Love | Changes | Me Against the World;3
11;Beyoncé;1;35;Houston;1997;1;2024;Crazy in Love | Halo | Renaissance | Cowboy Carter;5
12;Alicia Keys;1;17;New York;1996;1;2021;Songs in A Minor | If I Ain't Got You | Girl on Fire | Keys;5
13;James Brown;1;1;Barnwell;1953;0;2002;I Got You | Papa's Got a Brand New Bag | Sex Machine | Live at the Apollo;7
14;Earth, Wind & Fire;9;6;Chicago;1969;1;2024;September | Fantasy | Boogie Wonderland | That's the Way of the World;7
15;Miles Davis;1;8;Alton;1944;0;1989;Kind of Blue | Bitches Brew | Sketches of Spain | Birth of the Cool;8
16;Louis Armstrong;1;1;New Orleans;1914;0;1970;What a Wonderful World | Hello Dolly | West End Blues | Satchmo Plays King Oliver;8
17;Johnny Cash;1;13;Kingsland;1954;0;2006;Ring of Fire | At Folsom Prison | I Walk the Line | American IV;10
18;Dolly Parton;1;11;Sevierville;1955;1;2023;Jolene | 9 to 5 | Coat of Many Colors | Rockstar;10
19;Bob Marley & The Wailers;5;0;Kingston;1963;0;1983;Legend | No Woman No Cry | One Love | Exodus;12
20;Jimmy Cliff;1;2;Somerton;1962;1;2022;The Harder They Come | Many Rivers to Cross | Wonderful World Beautiful People | Rebirth;12
21;Metallica;4;9;Los Angeles;1981;1;2023;Master of Puppets | Metallica | Enter Sandman | 72 Seasons;15
22;Iron Maiden;6;0;Londres;1975;1;2021;The Number of the Beast | Powerslave | Fear of the Dark | Senjutsu;15
25;Daft Punk;2;6;Paris;1993;0;2021;Discovery | Random Access Memories | One More Time | Around the World;26
26;The Chemical Brothers;2;6;Manchester;1989;1;2023;Dig Your Own Hole | Galvanize | Surrender | For That Beautiful Feeling;26
27;Duran Duran;5;0;Birmingham;1978;1;2023;Rio | Hungry Like the Wolf | Ordinary World | Danse Macabre;39
28;A-ha;3;0;Oslo;1982;1;2022;Take On Me | Hunting High and Low | Stay on These Roads | True North;39
29;João Gilberto;1;2;Juazeiro;1957;0;2000;Chega de Saudade | Getz/Gilberto | Amoroso | João Voz e Violão;43
30;Tom Jobim;1;0;Rio de Janeiro;1954;0;1994;Chega de Saudade | Wave | Stone Flower | Águas de Março;43
31;Zeca Pagodinho;1;4;Rio de Janeiro;1983;1;2023;Deixa a Vida Me Levar | Verdade | Camarão que Dorme a Onda Leva | Acústico MTV;44
32;Beth Carvalho;1;1;Rio de Janeiro;1965;0;2018;Coisinha do Pai | Vou Festejar | Andança | Beth Carvalho Canta o Samba da Bahia;44
33;Luiz Gonzaga;1;0;Exu;1941;0;1989;Asa Branca | Baião | Xote das Meninas | A Vida do Viajante;46
34;Dominguinhos;1;1;Garanhuns;1957;0;2010;Eu Só Quero um Xodó | Isso Aqui Tá Bom Demais | De Volta pro Aconchego | Gostoso Demais;46
35;Chico Buarque;1;2;Rio de Janeiro;1966;1;2022;Construção | Apesar de Você | Meus Caros Amigos | Caravanas;47
36;Caetano Veloso;1;6;Santo Amaro;1965;1;2024;Transa | Livro | Meu Coco | Cinema Transcendental;47
37;Chitãozinho & Xororó;2;9;Astorga;1970;1;2024;Evidências | Fio de Cabelo | Página de Amigos | José & Durval;48
38;Zezé Di Camargo & Luciano;2;3;Piracanjuba;1991;1;2024;É o Amor | Dois Corações e uma História | No Dia em que Saí de Casa | Flores em Vida;48
39;Led Zeppelin;4;1;Londres;1968;0;2007;Stairway to Heaven | Whole Lotta Love | Kashmir | Black Dog;1
40;AC/DC;5;1;Sydney;1973;1;2020;Back in Black | Highway to Hell | Thunderstruck | You Shook Me All Night Long;1
41;Lady Gaga;1;16;Nova York;2008;1;2024;The Fame | Born This Way | Chromatica | Harlequin;2
42;Rihanna;1;9;Saint Michael;2005;1;2016;Anti | Umbrella | Diamonds | Work;2
43;J. Cole;1;2;Fayetteville;2007;1;2024;Forest Hills Drive | KOD | The Off-Season | Might Delete Later;3
44;Nas;1;1;Nova York;1994;1;2020;Illmatic | It Was Written | Stillmatic | King's Disease;3
45;Snoop Dogg;1;0;Long Beach;1992;1;2022;Doggystyle | Tha Doggfather | Neva Left | Missionary;3
46;Ice Cube;1;0;Los Angeles;1990;1;2018;AmeriKKKa's Most Wanted | Death Certificate | The Predator | Everythang's Corrupt;3
47;Whitney Houston;1;6;Newark;1985;0;1990;Whitney Houston | I Will Always Love You | The Bodyguard | I'm Your Baby Tonight;5
48;Stevie Wonder;1;25;Saginaw;1962;1;2005;Songs in the Key of Life | Innervisions | Talking Book | Hotter than July;5
49;Bootsy Collins;1;0;Cincinnati;1969;1;2020;Stretchin' Out in Bootsy's Rubber Band | Ahh... The Name Is Bootsy, Baby! | Player of the Year | This Boot Is Made for Fonk-N;7
50;Kool & The Gang;7;2;Jersey City;1964;1;2022;Celebration | Ladies' Night | Jungle Boogie | Get Down On It;7
51;John Coltrane;1;2;Hamlet;1945;0;1967;A Love Supreme | Giant Steps | Blue Train | My Favorite Things;8
52;Duke Ellington;1;13;Washington D.C.;1917;0;1974;Take the A Train | Mood Indigo | Sophisticated Lady | It Don't Mean a Thing;8
53;Willie Nelson;1;12;Abbott;1956;1;2024;Red Headed Stranger | Stardust | On the Road Again | Always on My Mind;10
54;Garth Brooks;1;2;Tulsa;1985;1;2024;No Fences | Ropin' the Wind | Friends in Low Places | The Chase;10
55;Peter Tosh;1;1;Westmoreland;1964;0;1987;Legalize It | Equal Rights | Bush Doctor | Mama Africa;12
56;Burning Spear;1;2;Saint Ann;1969;1;2021;Marcus Garvey | Social Living | Hail H.I.M. | Jah Is Real;12
57;Black Sabbath;4;2;Birmingham;1968;0;2013;Paranoid | Master of Reality | Heaven and Hell | 13;15
58;Slayer;4;2;Huntington Park;1981;0;2015;Reign in Blood | South of Heaven | Seasons in the Abyss | Repentless;15
61;Kraftwerk;4;1;Düsseldorf;1970;1;2003;Autobahn | Trans-Europe Express | The Man-Machine | Computer World;26
62;Justice;2;1;Paris;2003;1;2016;Cross | Woman | D.A.N.C.E. | Genesis;26
63;Depeche Mode;3;0;Basildon;1980;1;2023;Violator | Music for the Masses | Songs of Faith and Devotion | Memento Mori;39
64;Tears for Fears;2;1;Bath;1981;1;2022;Songs from the Big Chair | The Seeds of Love | The Tipping Point | Everybody Wants to Rule the World;39
65;Vinicius de Moraes;1;0;Rio de Janeiro;1954;0;1980;Chega de Saudade | Águas de Março | Garota de Ipanema | A Arca de Noé;43
66;Nara Leão;1;0;Vitória da Conquista;1963;0;1989;Nara Leão | Os Grandes Sucessos de Vinicius de Moraes | Dez Anos Depois | Meu Nome É Nara;43
67;Cartola;1;0;Rio de Janeiro;1957;0;1976;Cartola | Cartola II | As Rosas Não Falam | Verde Que Te Quero Rosa;44
68;Clara Nunes;1;0;Paraopeba;1966;0;1982;Clara | Claridade | Guerreira | Alvorecer;44
69;Elba Ramalho;1;2;Campina Grande;1975;1;2022;Ave de Prata | Capim do Vale | Sabor de Sonho | Terra Sedenta;46
70;Elomar;1;0;Vitória da Conquista;1970;1;2018;Das Barrancas do Rio Gavião | Na Quarta-Feira de Cinzas | Cantoria | Peleja do Diabo com o Dono do Céu;46
72;Elis Regina;1;0;Porto Alegre;1961;0;1982;Elis & Tom | Falso Brilhante | Como & Porque | Elis;47
71;Gilberto Gil;1;4;Salvador;1965;1;2023;Refazenda | Refavela | Quanta | Ok Ok Ok;47
73;Michel Teló;1;1;Medianeira;1998;1;2023;Bem Sertanejo | Ai Se Eu Te Pego | Humildade | Bem Sertanejo - O Show;48
74;Marília Mendonça;1;1;Cristalina;2015;0;2021;Todos os Cantos | Patroas | Ceú | Decretos Reais;48
75;Kendrick Lamar;1;27;Compton;2004;1;2024;good kid, m.A.A.d city | To Pimp a Butterfly | DAMN. | GNX;3
76;Bad Bunny;1;23;San Juan;2016;1;2025;X 100pre | YHLQMDLG | Un Verano Sin Ti | Debí Tirar Más Fotos;49
77;Anitta;1;0;Rio de Janeiro;2010;1;2025;Anitta | Kisses | Girl From Rio | Funk Generation;50
78;U2;4;22;Dublin;1976;1;2024;The Joshua Tree | Achtung Baby | All That You Can't Leave Behind | Songs of Surrender;1
